"","","","","","","",""
ICT폴리텍대학,본교,경기,사립,경기도 광주시 순암로 16-26 (역동) ICT폴리텍대학,www.ict.ac.kr,031-764-3301~3302,031-762-3456
가야대학교(고령),제2캠퍼스,경북,사립,경상북도 고령군 대가야읍 대가야로 1103 (지산리. 가야대학교) ,WWW.KAYA.AC.KR,055-330-1000,055-331-0983
가야대학교(김해),본교,경남,사립,경상남도 김해시 삼계로 208 (삼계동) ,WWW.KAYA.AC.KR,055-330-1000,055-330-1093
가천대학교,본교,경기,사립,경기도 성남시 수정구 성남대로 1342 (복정동. 가천대학교) ,www.gachon.ac.kr,031-750-5114,031-753-8828
가톨릭관동대학교,본교,강원,사립,강원도 강릉시 범일로579번길 24 (내곡동. 가톨릭관동대학교) ,www.cku.ac.kr,033-649-7114,033-649-7874
가톨릭꽃동네대학교,본교,충북,사립,충청북도 청주시 서원구 현도면 상삼길 133 (상삼리. 꽃동네대학교) ,www.kkot.ac.kr,043-270-0109,043-270-0120
가톨릭대학교,본교,경기,사립,경기도 부천시 원미구 지봉로 43 (역곡동. 가톨릭대학교성심교정) ,www.catholic.ac.kr,02-2164-4114,02-2164-4754
가톨릭대학교,제2캠퍼스,서울,사립,서울특별시 서초구 반포대로 222 (반포동. 가톨릭대학교성의교정) ,www.catholic.ac.kr,02-2258-7114,02-533-4362
가톨릭대학교,제3캠퍼스,서울,사립,서울특별시 종로구 창경궁로 296-12 (혜화동. 가톨릭대학교성신교정) ,www.catholic.ac.kr,02-740-9705,02-741-2801
가톨릭상지대학교,본교,경북,사립,경상북도 안동시 상지길 45 (율세동. 가톨릭상지대학교) ,www.csj.ac.kr,054-851-3000,054-851-3100
감리교신학대학교,본교,서울,사립,서울특별시 서대문구 독립문로 56 (냉천동. 감리교신학대학) ,www.mtu.ac.kr,02-361-9257,02-361-9006
강남대학교,본교,경기,사립,경기도 용인시 기흥구 강남로 40 (구갈동. 강남대학교) ,www.kangnam.ac.kr,031-280-3500,031-280-3173
강동대학교,본교,충북,사립,충청북도 음성군 감곡면 대학길 278 (단평리. 강동대학교) ,www.gangdong.ac.kr,043-879-3300,043-879-3311
강릉영동대학교,본교,강원,사립,강원도 강릉시 공제로 357 (홍제동. 강릉영동대학) ,www.gyc.ac.kr,033-610-0114,033-644-8809
강릉원주대학교,본교,강원,국립,강원도 강릉시 죽헌길 7 (지변동. 강릉원주대학교) ,www.gwnu.ac.kr,033-642-7001,033-643-7110
강릉원주대학교,제2캠퍼스,강원,국립,강원도 원주시 흥업면 남원로 150 (흥업리. 강릉원주대학교원주캠퍼스) ,www.gwnu.ac.kr,033-760-8020,033-760-8029
강원관광대학교,본교,강원,사립,강원도 태백시 대학길 97 (황지동. 강원관광대학) ,www.kt.ac.kr,033-550-6133,033-553-4074
강원대학교,본교,강원,국립,강원도 춘천시 강원대학길 1 (효자동. 강원대학교) ,www.kangwon.ac.kr/,033-250-6114,033-251-9556
강원대학교,제2캠퍼스,강원,국립,강원도 삼척시 중앙로 346 (교동. 강원대학교삼척캠퍼스) ,www.kangwon.ac.kr/,033-570-6114,033-572-8620
강원도립대학교,본교,강원,공립,강원도 강릉시 주문진읍 연주로 270 ,www.gw.ac.kr,033-660-8000,033-660-8035
거제대학교,본교,경남,사립,경상남도 거제시 마전1길 91 (장승포동. 거제대학) ,www.geoje.ac.kr,055-680-1504,055-680-1517
건국대학교,본교,서울,사립,서울특별시 광진구 능동로 120 (화양동. 건국대학교) ,www.konkuk.ac.kr,02-450-3114,02-450-3179
건국대학교(글로컬),분교,충북,사립,충청북도 충주시 충원대로 268 (단월동. 건국대학교 글로컬캠퍼스) ,www.kku.ac.kr,043-840-3114,043-851-9356
건양대학교,본교,충남,사립,충청남도 논산시 대학로 121 (내동. 건양대학교) ,www.konyang.ac.kr,041-730-5114,041-733-2070
건양대학교,제2캠퍼스,대전,사립,대전광역시 서구 관저동로 158 (관저동. 건양대학교병원) ,www.konyang.ac.kr,041-730-5114,041-733-2070
건양사이버대학교,본교,대전,사립,대전광역시 서구 관저동로 158 (관저동. 건양대학교병원) 건양사이버대학교,www.kycu.ac.kr,1899-3330,042-722-0023
경기과학기술대학교,본교,경기,사립,경기도 시흥시 경기과기대로 269 (정왕동. 경기과학기술대학교) ,www.gtec.ac.kr,031-496-4532,031-496-9024
경기대학교,본교,경기,사립,경기도 수원시 영통구 광교산로 154-42 (이의동. 경기대학교) ,www.kyonggi.ac.kr,031-249-9114,031-243-2194
경기대학교,제2캠퍼스,서울,사립,서울특별시 서대문구 경기대로9길 24 (충정로2가. 경기대학교) ,www.kyonggi.ac.kr,031-249-8711,031-249-8718
경남대학교,본교,경남,사립,경상남도 창원시 마산합포구 경남대학로 7 (월영동. 경남대학교) ,www.kyungnam.ac.kr,055-245-5000,055-246-6184
경남도립거창대학,본교,경남,공립,경상남도 거창군 거창읍 거창대학로 72 (대평리. 경남도립거창대학) ,www.gc.ac.kr,055-254-2800,055-254-2718
경남도립남해대학,본교,경남,공립,경상남도 남해군 남해읍 화전로78번길 30 (남변리. 경남도립남해대학) ,www.namhae.ac.kr,055-254-2400,055-254-2419
경남정보대학교,본교,부산,사립,부산광역시 사상구 주례로 45 (주례동. 경남정보대학교) ,www.kit.ac.kr,051-324-5555,051-324-1858
경동대학교,본교,강원,사립,강원도 고성군 토성면 봉포4길 46 (봉포리. 경동대학교) ,www.kduniv.ac.kr,033-631-2000,033-631-9542
경동대학교,제2캠퍼스,강원,사립,강원도 속초시 도리원길 5 (노학동. 동우대학) ,www.kduniv.ac.kr,033-632-6551,033-639-0518
경동대학교,제3캠퍼스,강원,사립,강원도 원주시 문막읍 견훤로 815 (후용리. 경동대학교) ,www.kduniv.ac.kr,033-738-1200,033-738-1209
경동대학교,제4캠퍼스,경기,사립,경기도 양주시 경동대학로 27 (고암동) ,www.kduniv.ac.kr,031-869-9900,031-869-9909
경민대학교,본교,경기,사립,경기도 의정부시 서부로 545 (가능동. 경민대학) ,www.kyungmin.ac.kr,031-828-7722,031-828-7733
경복대학교,본교,경기,사립,경기도 남양주시 진접읍 경복대로 425 (금곡리. 경복대학교) ,www.kbu.ac.kr,031-570-9901,031-570-9929
경북과학대학교,본교,경북,사립,경상북도 칠곡군 기산면 지산로 634 (봉산리. 경북과학대학교) ,www.kbsc.ac.kr,054-979-9001,054-979-9130
경북대학교,본교,대구,국립,대구광역시 북구 대학로 80 (산격동. 경북대학교) ,www.knu.ac.kr,053-950-5114,053-950-2149
경북도립대학교,본교,경북,공립,경상북도 예천군 예천읍 도립대학길 114 (청복리. 경북도립대학교) ,www.gpc.ac.kr,054-650-0128,054-650-0129
경북보건대학교,본교,경북,사립,경상북도 김천시 대학로 168 (삼락동. 경북보건대학교) ,www.gch.ac.kr,054-420-9200,054-430-4477
경북전문대학교,본교,경북,사립,경상북도 영주시 대학로 77 (휴천동. 경북전문대학교) ,www.kbc.ac.kr,054-630-5114,054-632-0754
경상국립대학교,본교,경남,국립,경상남도 진주시 진주대로 501 (가좌동. 경상대학교) ,www.gnu.ac.kr,055-772-1114,055-772-0359
경성대학교,본교,부산,사립,부산광역시 남구 수영로 309 (대연동. 경성대학교) ,ks.ac.kr,051-663-4114,051-663-4089
경운대학교,본교,경북,사립,경상북도 구미시 산동면 강동로 730 (인덕리. 경운대학교) ,www.ikw.ac.kr,054-479-1114,054-479-1209
경인교육대학교,본교,인천,국립,인천광역시 계양구 계산로 62 (계산동. 경인교육대학교) ,www.ginue.ac.kr,032-540-1114,032-541-0580
경인교육대학교,제2캠퍼스,경기,국립,경기도 안양시 만안구 삼막로 155 (석수동. 경인교육대학교) ,www.ginue.ac.kr,031-470-6114,031-470-6139
경인여자대학교,본교,인천,사립,인천광역시 계양구 계양산로 63 (계산동. 경인여자대학) ,www.kiwu.ac.kr,032-540-0114,032-545-2095
경일대학교,본교,경북,사립,경상북도 경산시 하양읍 가마실길 50 (부호리. 경일대학교) ,www.kiu.ac.kr,053-600-4000,053-600-4020
경주대학교,본교,경북,사립,경상북도 경주시 태종로 188 (효현동. 경주대학교) ,www.gju.ac.kr,054-770-5114,054-748-2784
경희대학교,본교,서울,사립,서울특별시 동대문구 경희대로 26 (회기동. 경희대학교) ,www.khu.ac.kr,02-961-0114,02-961-0930
경희사이버대학교,본교,서울,사립,서울특별시 동대문구 경희대로 26 (회기동. 경희사이버대학교) ,www.khcu.ac.kr,02-3299-8700,02-3299-8729
계명대학교,본교,대구,사립,대구광역시 달서구 달구벌대로 1095 (신당동. 계명대학교성서캠퍼스) ,www.kmu.ac.kr,053-580-5114,053-580-5454
계명문화대학교,본교,대구,사립,대구광역시 달서구 달서대로 675 (신당동. 계명문화대학교) ,www.kmcu.ac.kr,053-589-7744,053-589-7400
계원예술대학교,본교,경기,사립,경기도 의왕시 계원대학로 66 (내손동. 계원예술대학교) ,www.kaywon.ac.kr,031-420-1700,031-420-1729
고구려대학교,본교,전남,사립,전라남도 나주시 다시면 백호로 125 (복암리. 고구려대학) ,www.kgrc.ac.kr,061-330-7400,061-335-7128
고려대학교,본교,서울,사립,서울특별시 성북구 안암로 145 (안암동5가. 고려대학교안암캠퍼스(인문사회계)) ,www.korea.ac.kr,02-3290-1114,02-928-9102
고려대학교(세종),분교,세종,사립,세종특별자치시 조치원읍 세종로 2511 (서창리. 고려대학교세종캠퍼스) ,sejong.korea.ac.kr,044-860-1114,044-860-1048
고려사이버대학교,본교,서울,사립,서울특별시 종로구 북촌로 106 (계동. 고려사이버대학교) ,www.cuk.edu,02-6361-2000,02-6361-1800
고신대학교,본교,부산,사립,부산광역시 영도구 와치로 194 (동삼동. 고신대학교) ,www.kosin.ac.kr,051-990-2114,051-911-2525
공주교육대학교,본교,충남,국립,충청남도 공주시 웅진로 27 (봉황동. 공주교육대학교) ,www.gjue.ac.kr,041-850-1377,041-850-1374
공주대학교,본교,충남,국립,충청남도 공주시 공주대학로 56 (신관동. 공주대학교) ,www.kongju.ac.kr,041-850-8114,041-850-8019
광신대학교,본교,광주,사립,광주광역시 북구 양산택지소로 36 (본촌동. 광신대학교) ,www.kwangshin.ac.kr,062-605-1004,062-571-7255
광양보건대학교,본교,전남,사립,전라남도 광양시 광양읍 대학로 85 (덕례리. 광양보건대학) ,www.gy.ac.kr,061-760-1411,061-763-9009
광운대학교,본교,서울,사립,서울특별시 노원구 광운로 20 (월계동. 광운대학교) ,www.kw.ac.kr,02-940-5026,02-917-0896
광주가톨릭대학교,본교,전남,사립,전라남도 나주시 남평읍 중남길 12-25 (남석리. 광주가톨릭대학교) ,www.gjcatholic.ac.kr,061-337-2181,061-337-2185
광주과학기술원,본교,광주,특별법법인,광주광역시 북구 첨단과기로 123 (오룡동. 광주과학기술원) ,www.gist.ac.kr,627152114,627152300
광주교육대학교,본교,광주,국립,광주광역시 북구 필문대로 55 (풍향동. 광주교육대학교) ,www.gnue.ac.kr,062-520-4114,062-524-6022
광주대학교,본교,광주,사립,광주광역시 남구 효덕로 277 (진월동. 광주대학교) ,www.gwangju.ac.kr,062-670-2302,062-670-2112
광주보건대학교,본교,광주,사립,광주광역시 광산구 북문대로419번길 73 (신창동. 광주보건대학) ,www.ghu.ac.kr,062-958-7500,062-953-4946
광주여자대학교,본교,광주,사립,광주광역시 광산구 광주여대길 40 (산정동) ,www.kwu.ac.kr,062-956-2500,062-953-2218
구미대학교,본교,경북,사립,경상북도 구미시 야은로 37 (부곡동. 구미대학교) ,www.gumi.ac.kr,054-440-1114,054-442-8953
국민대학교,본교,서울,사립,서울특별시 성북구 정릉로 77 (정릉동. 국민대학교) ,www.kookmin.ac.kr,02-910-4114,02-910-4169
국제대학교,본교,경기,사립,경기도 평택시 장안웃길 56 (장안동. 국제대학교) ,www.kookje.ac.kr,031-610-8000,031-668-4900
국제사이버대학교,본교,경기,사립,경기도 수원시 팔달구 경수대로 490 (인계동) ,www.gjcu.ac.kr,031-229-6212,031-267-0750
군산간호대학교,본교,전북,사립,전라북도 군산시 동개정길 7 (개정동. 군산간호대학교) ,www.kcn.ac.kr,063-450-3803,063-450-3809
군산대학교,본교,전북,국립,전라북도 군산시 대학로 558 (미룡동. 군산대학교) ,www.kunsan.ac.kr,063-469-4113~4,063-469-4110
군장대학교,본교,전북,사립,전라북도 군산시 성산면 군장대길 13 (도암리. 군장대학) ,www.kunjang.ac.kr,063-450-8114,063-450-8116
극동대학교,본교,충북,사립,충청북도 음성군 감곡면 대학길 76-32 (왕장리. 극동대학교) ,www.kdu.ac.kr,043-879-3500,043-879-3519
글로벌사이버대학교,본교,충남,사립,충청남도 천안시 동남구 목천읍 교천지산길 284-88 (지산리. 글로벌사이버대학교) ,www.global.ac.kr,1577-1786,041-415-6199
금강대학교,본교,충남,사립,충청남도 논산시 상월면 상월로 522 (대명리. 금강대학교) ,www.ggu.ac.kr,041-731-3114,041-731-3048
금오공과대학교,본교,경북,국립,경상북도 구미시 대학로 61 (양호동. 금오공과대학교) ,www.kumoh.ac.kr,(054)478-7114,(054)478-7100
기독간호대학교,본교,광주,사립,광주광역시 남구 백서로70번길 6 (양림동. 기독간호대학) ,ccn.ac.kr,062-650-8021,062-675-5806
김천대학교,본교,경북,사립,경상북도 김천시 대학로 214 (삼락동. 김천대학교) ,www.gimcheon.ac.kr,054-420-4000,054-420-4003
김포대학교,본교,경기,사립,경기도 김포시 월곶면 김포대학로 97 (포내리. 김포대학교) ,ukp.ac.kr,031-999-4725,031-989-4389
김해대학교,본교,경남,사립,경상남도 김해시 삼안로112번길 198 (삼방동. 김해대학교) ,www.gimhae.ac.kr,055-320-1600,055-320-1666
나사렛대학교,본교,충남,사립,충청남도 천안시 서북구 월봉로 48 (쌍용동. 나사렛대학교) ,www.kornu.ac.kr,041-570-7871,041-570-7725
남부대학교,본교,광주,사립,광주광역시 광산구 남부대길 1 (월계동) ,www.nambu.ac.kr,062-970-0001,062-972-6200
남서울대학교,본교,충남,사립,충청남도 천안시 서북구 성환읍 대학로 91 (매주리. 남서울대학교) ,www.nsu.ac.kr/,041-580-2000,041-582-2117
농협대학교,본교,경기,사립,경기도 고양시 덕양구 서삼릉길 281 (원당동. 농협대학) ,www.nonghyup.ac.kr,031-960-4000,031-960-4333
단국대학교,본교,경기,사립,경기도 용인시 수지구 죽전로 152 (죽전동. 단국대학교) ,www.dankook.ac.kr,1899-3700,031-8021-7106
단국대학교,제2캠퍼스,충남,사립,충청남도 천안시 동남구 단대로 119 (안서동. 단국대학교천안캠퍼스) ,www.dankook.ac.kr,1899-3700,031-8021-7106
대경대학교,본교,경북,사립,경상북도 경산시 자인면 단북1길 65 (단북리. 대경대학) ,www.tk.ac.kr,053-850-1000,053-850-1214
대구가톨릭대학교,본교,경북,사립,경상북도 경산시 하양읍 하양로 13-13 (금락리. 대구가톨릭대학교) ,www.cu.ac.kr,053-850-3114,053-359-7000
